time,W02,,,STS06,,,STS17,,,STS23,,,NTS23,,,STS29,,,E2,,,W1,,,E1,,,STCB,,,North_Ref,,,U1,,,U2,,,U3,,,U4,,,U5,,,U6,,,U7,,,U8,,,U9,,,U10,,,U11,,
,throttling-abs,throttling-orthogonal-abs,vertical-abs,throttling-rel,throttling-orthogonal-rel,vertical-rel,throttling-abs,throttling-orthogonal-abs,vertical-abs,throttling-rel,throttling-orthogonal-rel,vertical-rel,throttling-abs,throttling-orthogonal-abs,vertical-abs,throttling-rel,throttling-orthogonal-rel,vertical-rel,throttling-abs,throttling-orthogonal-abs,vertical-abs,throttling-rel,throttling-orthogonal-rel,vertical-rel,throttling-abs,throttling-orthogonal-abs,vertical-abs,throttling-rel,throttling-orthogonal-rel,vertical-rel,throttling-abs,throttling-orthogonal-abs,vertical-abs,throttling-rel,throttling-orthogonal-rel,vertical-rel,throttling-abs,throttling-orthogonal-abs,vertical-abs,throttling-rel,throttling-orthogonal-rel,vertical-rel,throttling-abs,throttling-orthogonal-abs,vertical-abs,throttling-rel,throttling-orthogonal-rel,vertical-rel,throttling-abs,throttling-orthogonal-abs,vertical-abs,throttling-rel,throttling-orthogonal-rel,vertical-rel,throttling-abs,throttling-orthogonal-abs,vertical-abs,throttling-rel,throttling-orthogonal-rel,vertical-rel,throttling-abs,throttling-orthogonal-abs,vertical-abs,throttling-rel,throttling-orthogonal-rel,vertical-rel
2014-01-22 1:34,-213787.7031,4157980.25,77.44100189,35.58136749,3.737156868,-1,-213730.2969,4158001.25,78.38800049,25.98334885,0.930370271,0,-213601.6094,4158049.75,79.8789978,9.831590652,0.582951248,-9,-213531.5781,4158076,80.09799957,0.351338208,0.936248779,-12,-213543.3125,4158107.75,80.10399628,4.563477516,-4.91677475,-13,-213461.2656,4158102.5,79.84600067,-1.990262985,-2.457407236,-5,-213279.9219,4158170.75,77.44799805,-22.00282288,3.984445333,3,-213681.2656,4158037.75,142.4620056,18.72693253,1.517240286,-7,-213398,4158144,142.477005,-12.05542564,-0.816523731,-5,-213534.4219,4158076.5,79.70400238,4.09633255,-0.469103843,-3,0,0,0,0,0,0
2014-01-22 1:34,-213787.7031,4157980.25,77.44200134,34.99645615,5.024743557,0,-213730.2969,4158001.25,78.38899994,24.81352806,3.505544186,1,-213601.6094,4158049.75,79.88200378,9.24668026,1.870537758,-6,-213531.5781,4158076,80.09500122,0.351338208,0.936248779,-15,-213543.3125,4158107.75,80.10700226,4.914815426,-3.980526209,-10,-213461.2656,4158102.5,79.84600067,-2.22383523,-0.233572021,-5,-213279.9219,4158170.75,77.4489975,-21.65148354,4.920693398,4,-213681.2656,4158037.75,142.4620056,18.37559319,0.580991864,-7,-213398,4158144,142.4750061,-12.28899765,1.407312036,-7,-213534.4219,4158076.5,79.70400238,3.744994402,-1.405352592,-3,0,0,0,0,0,0
2014-01-22 1:34,-213787.7031,4157980.25,77.44200134,34.29378128,3.152246714,0,-213730.2969,4158001.25,78.38500214,25.3984375,2.217957258,-3,-213601.6094,4158049.75,79.88300323,9.831590652,0.582951248,-5,-213531.5781,4158076,80.09799957,0.702676296,1.872497082,-12,-213543.3125,4158107.75,80.10600281,4.563477516,-4.91677475,-11,-213461.2656,4158102.5,79.84500122,-1.990262985,-2.457407236,-6,-213279.9219,4158170.75,77.44799805,-21.65148354,4.920693398,3,-213681.2656,4158037.75,142.4629974,19.07826996,2.453489065,-6,-213398,4158144,142.473999,-11.70408726,0.119725078,-8,-213534.4219,4158076.5,79.70400238,4.09633255,-0.469103843,-3,0,0,0,0,0,0
2014-01-22 1:34,-213787.7031,4157980.25,77.44300079,34.06020737,5.376081944,1,-213730.2969,4158001.25,78.38800049,25.3984375,2.217957258,0,-213601.6094,4158049.75,79.88200378,10.18292809,1.51919961,-6,-213531.5781,4158076,80.09700012,1.287586808,0.584910631,-13,-213543.3125,4158107.75,80.10700226,5.266153812,-3.044277191,-10,-213461.2656,4158102.5,79.84700012,-2.575173616,-1.169820786,-4,-213279.9219,4158170.75,77.44999695,-22.00282288,3.984445333,5,-213681.2656,4158037.75,142.4570007,18.72693253,1.517240286,-12,-213398,4158144,142.477005,-12.64033604,0.471063226,-5,-213534.4219,4158076.5,79.70300293,3.744994402,-1.405352592,-4,0,0,0,0,0,0
2014-01-22 1:34,-213787.7031,4157980.25,77.44100189,35.93270493,4.673405647,-1,-213730.2969,4158001.25,78.38800049,25.3984375,2.217957258,0,-213601.6094,4158049.75,79.88200378,10.76783943,0.231613085,-6,-213531.5781,4158076,80.09799957,1.054014444,2.808745861,-12,-213543.3125,4158107.75,80.10600281,5.266153812,-3.044277191,-11,-213461.2656,4158102.5,79.84400177,-2.341601133,-3.393656015,-7,-213279.9219,4158170.75,77.44799805,-21.41791153,2.696858406,3,-213681.2656,4158037.75,142.4629974,19.07826996,2.453489065,-6,-213398,4158144,142.4750061,-11.11917686,-1.167861819,-7,-213534.4219,4158076.5,79.70400238,3.862760305,1.754731417,-3,0,0,0,0,0,0
2014-01-22 1:34,-213787.7031,4157980.25,77.44300079,35.34779358,5.960992336,1,-213730.2969,4158001.25,78.38700104,27.27093506,1.515280843,-1,-213601.6094,4158049.75,79.88300323,9.831590652,0.582951248,-5,-213531.5781,4158076,80.09700012,1.638924837,1.521158934,-13,-213543.3125,4158107.75,80.10800171,4.563477516,-4.91677475,-9,-213461.2656,4158102.5,79.84700012,-2.575173616,-1.169820786,-4,-213279.9219,4158170.75,77.4489975,-21.65148354,4.920693398,4,-213681.2656,4158037.75,142.4609985,19.31184196,0.229653716,-8,-213398,4158144,142.4759979,-11.35274982,1.055973887,-6,-213534.4219,4158076.5,79.70200348,4.447670937,0.467144936,-5,0,0,0,0,0,0
2014-01-22 1:34,-213787.7031,4157980.25,77.44000244,35.58136749,3.737156868,-2,-213730.2969,4158001.25,78.39099884,25.3984375,2.217957258,3,-213601.6094,4158049.75,79.87999725,10.76783943,0.231613085,-8,-213531.5781,4158076,80.09600067,2.926511765,2.106069565,-14,-213543.3125,4158107.75,80.10600281,4.563477516,-4.91677475,-11,-213461.2656,4158102.5,79.84300232,-2.575173616,-1.169820786,-8,-213279.9219,4158170.75,77.4469986,-20.71523666,4.569355488,2,-213681.2656,4158037.75,142.4609985,18.14202118,2.804827213,-8,-213398,4158144,142.473999,-11.11917686,-1.167861819,-8,-213534.4219,4158076.5,79.70400238,3.744994402,-1.405352592,-3,0,0,0,0,0,0
2014-01-22 1:34,-213787.7031,4157980.25,77.44200134,35.34779358,5.960992336,0,-213730.2969,4158001.25,78.38800049,25.74977684,3.154206038,0,-213601.6094,4158049.75,79.88200378,11.11917686,1.167861462,-6,-213531.5781,4158076,80.10099792,1.287586808,0.584910631,-9,-213543.3125,4158107.75,80.10900116,4.914815426,-3.980526209,-8,-213461.2656,4158102.5,79.84500122,-1.638924837,-1.521158934,-6,-213279.9219,4158170.75,77.4469986,-21.65148354,4.920693398,2,-213681.2656,4158037.75,142.4589996,19.31184196,0.229653716,-10,-213398,4158144,142.4779968,-12.64033604,0.471063226,-4,-213534.4219,4158076.5,79.70200348,4.09633255,-0.469103843,-5,0,0,0,0,0,0
2014-01-22 1:34,-213787.7031,4157980.25,77.44000244,36.51761627,3.38581872,-2,-213730.2969,4158001.25,78.38700104,25.3984375,2.217957258,-1,-213601.6094,4158049.75,79.87999725,10.18292809,1.51919961,-8,-213531.5781,4158076,80.09700012,0.702676296,1.872497082,-13,-213543.3125,4158107.75,80.10500336,5.266153812,-3.044277191,-12,-213461.2656,4158102.5,79.84500122,-2.926511526,-2.106069088,-6,-213279.9219,4158170.75,77.4469986,-20.71523666,4.569355488,2,-213681.2656,4158037.75,142.4629974,19.07826996,2.453489065,-6,-213398,4158144,142.4759979,-11.70408726,0.119725078,-6,-213534.4219,4158076.5,79.7009964,3.511422396,0.818483114,-6,0,0,0,0,0,0
2014-01-22 1:34,-213787.7031,4157980.25,77.44300079,35.34779358,5.960992336,1,-213730.2969,4158001.25,78.38999939,25.3984375,2.217957258,2,-213601.6094,4158049.75,79.88300323,8.661769867,3.158124685,-5,-213531.5781,4158076,80.09500122,0.351338208,0.936248779,-15,-213543.3125,4158107.75,80.10600281,5.266153812,-3.044277191,-11,-213461.2656,4158102.5,79.84300232,-1.054014325,-2.808745384,-8,-213279.9219,4158170.75,77.4469986,-19.77898788,4.218017101,2,-213681.2656,4158037.75,142.4620056,19.6631813,1.165902019,-7,-213398,4158144,142.4750061,-11.35274982,1.055973887,-7,-213534.4219,4158076.5,79.69999695,4.09633255,-0.469103843,-7,0,0,0,0,0,0
2014-01-22 1:34,-213787.7031,4157980.25,77.44200134,36.51761627,3.38581872,0,-213730.2969,4158001.25,78.38999939,25.3984375,2.217957258,2,-213601.6094,4158049.75,79.88200378,10.18292809,1.51919961,-6,-213531.5781,4158076,80.09700012,1.638924837,1.521158934,-13,-213543.3125,4158107.75,80.10500336,5.617491722,-2.108028889,-12,-213461.2656,4158102.5,79.84799957,-2.575173616,-1.169820786,-3,-213279.9219,4158170.75,77.4509964,-20.13032532,3.281769037,6,-213681.2656,4158037.75,142.4600067,19.31184196,0.229653716,-9,-213398,4158144,142.4790039,-12.99167442,-0.465185553,-3,-213534.4219,4158076.5,79.70400238,3.511422396,0.818483114,-3,0,0,0,0,0,0
2014-01-22 1:34,-213787.7031,4157980.25,77.43900299,35.93270493,4.673405647,-3,-213730.2969,4158001.25,78.38899994,24.81352806,3.505544186,1,-213601.6094,4158049.75,79.8789978,11.11917686,1.167861462,-9,-213531.5781,4158076,80.09500122,0.351338208,0.936248779,-15,-213543.2969,4158107.75,80.10500336,6.787312984,-4.683202267,-12,-213461.2656,4158102.5,79.84600067,-2.22383523,-0.233572021,-5,-213279.9219,4158170.75,77.4489975,-21.65148354,4.920693398,4,-213681.2656,4158037.75,142.4620056,18.37559319,0.580991864,-7,-213398,4158144,142.4750061,-12.28899765,1.407312036,-7,-213534.4219,4158076.5,79.70300293,4.447670937,0.467144936,-4,0,0,0,0,0,0
2014-01-22 1:34,-213787.7031,4157980.25,77.44400024,35.58136749,3.737156868,2,-213730.2969,4158001.25,78.38500214,25.3984375,2.217957258,-3,-213601.6094,4158049.75,79.88600159,10.18292809,1.51919961,-2,-213531.5781,4158076,80.09799957,0.702676296,1.872497082,-12,-213543.2969,4158107.75,80.10700226,6.435974598,-5.619451046,-10,-213461.2656,4158102.5,79.84500122,-1.990262985,-2.457407236,-6,-213279.9219,4158170.75,77.44799805,-21.65148354,4.920693398,3,-213681.2656,4158037.75,142.4629974,19.07826996,2.453489065,-6,-213398,4158144,142.473999,-11.70408726,0.119725078,-8,-213534.4063,4158076.5,79.70200348,5.032581329,-0.820442021,-5,0,0,0,0,0,0
