time,YJ-3A-DSG-05,YJ-3A-DSG-01,YJ-3A-DSG-06,YJ-3A-DSG-04,YJ-3A-DSG-03,YJ-3A-DSG-02
2014-01-22 1:34,1689.737671,-698.2890625,503.2229309,-265.9102478,459.4073181,1704.44751
2014-01-22 1:34,1689.668579,-698.3257446,503.2718201,-265.8816223,459.3747253,1704.435303
2014-01-22 1:34,1689.737671,-698.34198,503.2514343,-265.8284607,459.3462219,1704.44751
2014-01-22 1:34,1689.640137,-698.3704834,503.3206787,-265.8611755,459.2607117,1704.496338
2014-01-22 1:34,1689.668579,-698.354248,503.3329468,-265.9634094,459.3747253,1704.512695
2014-01-22 1:34,1689.765991,-698.2930908,503.2025452,-265.9102478,459.264801,1704.463867
2014-01-22 1:34,1689.765991,-698.3745728,503.1903381,-265.9143372,459.2770081,1704.386475
2014-01-22 1:34,1689.717285,-698.354248,503.300354,-265.83255,459.3747253,1704.435303
2014-01-22 1:34,1689.77002,-698.3379517,503.2881165,-265.8448181,459.4398804,1704.435303
2014-01-22 1:34,1689.818848,-698.2727661,503.3166504,-265.8938904,459.3462219,1704.463867
2014-01-22 1:34,1689.749878,-698.4030762,503.3329468,-265.83255,459.3625183,1704.533081
2014-01-22 1:34,1689.831055,-698.2727661,503.3369751,-265.8611755,459.358429,1704.44751
2014-01-22 1:34,1689.77002,-698.2890625,503.2392273,-265.877533,459.3299561,1704.415039
2014-01-22 1:34,1689.688843,-698.3745728,503.3166504,-265.8816223,459.3462219,1704.496338
2014-01-22 1:34,1689.7052,-698.3379517,503.3166504,-265.8652649,459.4073181,1704.500488
2014-01-22 1:34,1689.652344,-698.2727661,503.2677307,-265.8611755,459.4439697,1704.529053
2014-01-22 1:34,1689.717285,-698.2930908,503.1903381,-265.8652649,459.3299561,1704.512695
2014-01-22 1:34,1689.798584,-698.2442627,503.2188416,-265.9102478,459.476532,1704.386475
2014-01-22 1:34,1689.835083,-698.2768555,503.2840271,-265.9306946,459.476532,1704.418945
2014-01-22 1:34,1689.652344,-698.1262207,503.3166504,-265.9266052,459.4439697,1704.44751
2014-01-22 1:34,1689.733521,-698.1750488,503.3655396,-265.9102478,459.4439697,1704.44751
2014-01-22 1:34,1689.863403,-698.2565308,503.2718201,-265.8611755,459.2485046,1704.415039
2014-01-22 1:34,1689.814697,-698.2442627,503.3655396,-265.7344055,459.0978088,1704.435303
2014-01-22 1:34,1689.7052,-698.3583374,503.3369751,-265.8161926,459.2810669,1704.435303
2014-01-22 1:34,1689.77002,-698.2280273,503.3166504,-265.8816223,459.3299561,1704.317139
2014-01-22 1:34,1689.688843,-698.2565308,503.2514343,-265.9266052,459.476532,1704.529053
2014-01-22 1:34,1689.721313,-698.2442627,503.2351379,-265.8979797,459.4439697,1704.598267
2014-01-22 1:34,1689.798584,-698.3094482,503.3329468,-265.83255,459.2932739,1704.451538
